Tanggal,Resi Retur,DN,Resi Original,SKU,IMEI,Sloc,Doc Sanggahan,Update Case,KETERANGAN,Doc Handover,NO HO,Link Video Sanggahan,Status,Nama Packer,Status Print,Tgl & Jam Packing,catatan
Tanggal,,Tidak ditemukan,JX5371873273,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. isi Sabun purbasari Lulur Mandi Pengantin,,Tidak ditemukan,110,D01_20250715140717.mp4,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
Tanggal,,Tidak ditemukan,SPXID058412462947,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. bad unit tdk segel,,Tidak ditemukan,14,D01_20250728132307.mp4,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
Tanggal,,Tidak ditemukan,JX5455724727,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. dus hp saja,,Tidak ditemukan,445,D01_20250728170429.mp4,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
Tanggal,,Tidak ditemukan,SPXID051788521187,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. dus kosong,,Tidak ditemukan,88,D02_20250725151152.mp4,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
Tanggal,,Tidak ditemukan,TG3526179098,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done. resi yang diterima,,Tidak ditemukan,54,D01_20250806161304.mp4,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,SPXID054529980427,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. box kosong,,Tidak ditemukan,58,D02_20250725142604.mp4,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,JX5458239157,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. isi dus oppo,,Tidak ditemukan,367,https://drive.google.com/file/d/1olSAwnFabtgCnVSKGynHXXzxAkp4olXd/view?usp=sharing,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,JX5446626304,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. Isi Box ARM Syle,,Tidak ditemukan,46,https://drive.google.com/file/d/1pm1bDLw2cMaFzv9k6JCUstGHdJcMgDaE/view?usp=sharing,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,CM95226719997,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit.,,Tidak ditemukan,45,https://drive.google.com/file/d/1hj6d_tigthzZ8-xl3XJVeVquQrFhBijS/view?usp=sharing,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,"TG3531792506 JX4507938931 resi retur",Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. isi lem aibon,,Tidak ditemukan,45,D01_20250808094006.mp4,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,SPXID053358370148,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. user terima parfum,,Tidak ditemukan,6,D01_20250801153108.mp4,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,JX5419373178,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,"done di daily. cek sn dikirim, apa sudah sesuai (sn yang dikirim beda)",,Tidak ditemukan,38,https://drive.google.com/file/d/1vI3MvUTpoTzTaA0RbFq5PlhjUyE2R3Co/view?usp=sharing,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,TG3538234609,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. isi batu,,Tidak ditemukan,22,D01_20250809093015.mp4,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,JX5521786082,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. bad unit tdk segel,,Tidak ditemukan,22,D01_20250807101947.mp4,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,JX5404621441,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. isi hp bekas,,Tidak ditemukan,183,  D01_20250719150001.mp4 https://drive.google.com/file/d/1O0Q0kxUtI6MR9z5fhwbEembJi8QO5y30/view?usp=sharing,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,JX5554045162,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. isi good time dan dancow,,Tidak ditemukan,684,D05_20250811175234.mp4,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,JX5472235632,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. isi obat diare,,Tidak ditemukan,,CamScanner 15-08-2025 14.35.pdf,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,SPXID055795097228,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. dus kosong,,Tidak ditemukan,17,D01_20250812140510.mp4,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,SPXID057587833108,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. dus kosong,,Tidak ditemukan,16,D01_20250812140636.mp4,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,JX5572255806,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. isi batu,,Tidak ditemukan,210,D02_20250812164039.mp4,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,JX5240745614,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. isi makeup book,,Tidak ditemukan,,https://drive.google.com/file/d/1OzqGr6pldIjU1wRs9R1eEr6zNuNuYddU/view?usp=sharing,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,JX5560144319,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. isi botol parfume,,Tidak ditemukan,493,https://drive.google.com/file/d/1Y5QAjKaitTYBXpIi5PwQdZJY6ACa1Eb3/view?usp=sharing,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,JX5192672810,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. isi mangkuk,,Tidak ditemukan,158,https://drive.google.com/file/d/1_D6vwrorKv_i1Rt2019zBPKBv7zEHphS/view?usp=sharing,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,JX5520055073,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. isi pasta gigi,,Tidak ditemukan,59,https://drive.google.com/file/d/1QU6B3OKbqVv1P_D7Nzm8ugQv9NbszIZW/view?usp=sharing,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,JX5524137972,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. isi xiaomi,,Tidak ditemukan,139,https://drive.google.com/file/d/1FvDpA_g0IF7UgQ678l4UlJrk6t7FHVuR/view?usp=sharing,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,JX5483600944,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,"done submit, resi diterima",,Tidak ditemukan,,D01_20250801135700.mp4,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,.,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,tolong bntu cctv proses berdasarkan SN terlampir pak,,Tidak ditemukan,,D07_20250818202157.mp4,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,SPXID054756387948,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. open segel unit hilang,,Tidak ditemukan,,D01_20250814092356.mp4,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,JX5543900103,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. dus penyok,,Tidak ditemukan,248,https://drive.google.com/file/d/1bDk5rZ1ttC82-sbNSd0_NmgFggfcgY2F/view?usp=sharing,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,JX5555664017,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. isi potongan keramik,,Tidak ditemukan,90,https://drive.google.com/file/d/1I3H6lBh3rGCA-YYuxdeduxM1fxJaa-tg/view?usp=sharing,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,SPXID053734189108,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. bad unit tdk segel,,Tidak ditemukan,,D01_20250809132705.mp4,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,JX5559275112,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. isi potongan keramik,,Tidak ditemukan,79,https://drive.google.com/file/d/1khoORe2xlGPaHowGVJ3H8cavVVXjApsn/view?usp=sharing,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,TG3532317518,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. isi potongan keramik,,Tidak ditemukan,181,https://drive.google.com/file/d/1DSD0PmRSAO8g4WilD0k4IqHn3JtqGhr8/view?usp=sharing,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,JX5545811849,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. box kosong,,Tidak ditemukan,111,https://drive.google.com/file/d/1HD1iZQ-gzAsYs9k-Qw2mo9LbWAGlPcmt/view?usp=sharing,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,TG3535437213,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. dus hp penyok,,Tidak ditemukan,13,https://drive.google.com/file/d/15vPAgrJW8VxWwEC49efAbsju_qdZa-ch/view?usp=sharing,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,JX5599263697,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done sampah. isi sampah botol,,Tidak ditemukan,369,https://drive.google.com/file/d/13DqUQ0w5fLmA6i51vtCGeVIv6m_vyKVP/view?usp=sharing,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,JX5587915720,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. box kosong vivo,,Tidak ditemukan,177,https://drive.google.com/file/d/1vIUIAiAvKpQ1OQpr4_jePKk0j8gB9DIT/view?usp=sharing,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,JX5597184811,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. isi sampah,,Tidak ditemukan,158,https://drive.google.com/file/d/1vpzJwJrOJTCoHdJZv2Fgj3LyCiK5BLHA/view?usp=sharing,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,SPXID057135214328,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. terima unit pcah dan hancur,,Tidak ditemukan,22,https://drive.google.com/file/d/1RCJhJ-JZSpBHKzE1X2s8FpGnbB48Nf9-/view?usp=sharing,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,TG3534447917,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. isi pecahan genteng,,Tidak ditemukan,79,https://drive.google.com/file/d/19erm_wq5TTxwv1YGPHGl5AGLOWv-gEib/view?usp=sharing,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,570112644105,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,"done - 357513140866477 good unit - 357513140865057 & 357513140866212 Unit Hilang, hanya Box & Charger",,Tidak ditemukan,1,https://drive.google.com/file/d/1zacKtBanPQ4Xzvvgjluly7dvS13WMH3P/view?usp=sharing,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,JX5623409079,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. user menerima isian tdk sesuai,,Tidak ditemukan,477,https://drive.google.com/file/d/1Q5MclBAjqzkXmlR5OP1dahb--yjoSjxX/view?usp=sharing,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,JX5577171012,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. isi dus oppo,,Tidak ditemukan,113,https://drive.google.com/file/d/1RfIHXMPkPIrlUDODAXSOwoFmQIl8xKPI/view?usp=sharing,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,JX5554122638,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,"done submit, dus hp saja",,Tidak ditemukan,710,https://drive.google.com/file/d/1OfZRThaaD2DdVxMObA3sQFk_JSAKxVj8/view?usp=sharing,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,JX5547716046,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. isi aqua gelas,,Tidak ditemukan,216,https://drive.google.com/file/d/15ljySboGca-C4qhwEMioprLrmabfWkEx/view?usp=sharing,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,JX5552111030,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. box kosong,,Tidak ditemukan,704,https://drive.google.com/file/d/1qCYypwk_VMsLSZzy1sWHgxrfAQLKGroR/view?usp=sharing,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,JX5614077759,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. isi teh kotak,,Tidak ditemukan,177,https://drive.google.com/file/d/1csfyYmyhOLBS3niaYeijnYzG-Gt-8s7n/view?usp=sharing,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,JX5604235987,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,isi powerbank,,Tidak ditemukan,198,tdk provide,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,JX5513298502,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. box kosong,,Tidak ditemukan,406,https://drive.google.com/file/d/1qBEILKNz43LKAkKHTVpAY1mXpYQ0v9gb/view?usp=sharing,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,SPXID052879212588,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. user hnya hanya terima box dan aksesoris bawaan saja,,Tidak ditemukan,12,https://drive.google.com/file/d/1PNwWKVTHIjH2qFc9apJbuETObuJTUCMm/view?usp=sharing,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,JX5663478813,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. user terima box kosong,,Tidak ditemukan,234,https://drive.google.com/file/d/1ZbsEUiDf0-b3bZ4I5tITmit0Ds-YoCNy/view?usp=sharing,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,JX4503441449,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. bad unit tdk segel,,Tidak ditemukan,108,https://drive.google.com/file/d/1M1l1uOloune1-9lTbE1FZgIGR7r2AajV/view?usp=sharing,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,SPXID053980102708,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. unit yang sampai hanya dus dan aksesoris saja,,Tidak ditemukan,5,https://drive.google.com/file/d/110EJmivVGaj-z7VAlAMsywOF0ZunCKfN/view?usp=sharing,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,JX5678104312,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. isi suplemen,,Tidak ditemukan,112,https://drive.google.com/file/d/11pdTLAwKoAsc-p6iPnTbMpZsnRc4zcHI/view?usp=sharing,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,JX5570180372,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. isi aqua gelas,,Tidak ditemukan,251,https://drive.google.com/file/d/1xrhv_iTHWv1VBcDLYftijT4TGsXUZUfY/view?usp=sharing,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,JX5623308775,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. bad unit tdk segel,,Tidak ditemukan,391,https://drive.google.com/file/d/1KStLKnyrugqYnnwxZJNVmPQhuWElqyup/view?usp=sharing,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,JX5699312574,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. user menerima paket isi sabun,,Tidak ditemukan,629,D04_20250901164838.mp4,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,JX5622584487,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. retur isi kaos,,Tidak ditemukan,393,D04_20250822155657.mp4,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,SPXID051243178248,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,"done submit. unit yang sampai kosong hanya box, charge, kartu xl dan case",,Tidak ditemukan,16,D01_20250826144422.mp4,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,JX5654039157,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. unit tanpa charger,,Tidak ditemukan,309,D03_20250826153124.mp4,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,SPXID056641513438,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. paket kosong,,Tidak ditemukan,1,D01_20250822091228.mp4,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,JX5662502006,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. isi batu,,Tidak ditemukan,390,D04_20250827114352.mp4,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,JX5703187302,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. isi baju,,Tidak ditemukan,728,D01_20250901172339.mp4,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,TG3538936627,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. isi susu kambing,,Tidak ditemukan,51,WhatsApp Video 2025-09-11 at 09.44.21.mp4,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,JX5700178881,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. isi air mineral,,Tidak ditemukan,69,D02_20250903094440.mp4,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,JX5618668540,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. isi celana levis,,Tidak ditemukan,541,D03_20250820163109.mp4,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,JX5608161874,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. unit hilang,,Tidak ditemukan,294,D02_20250819150624.mp4,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,JX5715301335,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. bad unit tdk segel,,Tidak ditemukan,213,D01_20250903145830.mp4,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,TG3536994008,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. paket kosong,,Tidak ditemukan,24,D01_20250809094127.mp4,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,JX5753722784,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. isi paket kipas portable,,Tidak ditemukan,224,D01_20250909145553.mp4,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,SPXID057319390308,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. terima box saja,,Tidak ditemukan,5,D01_20250826105644.mp4,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,JX5763749180,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. bad unit tdk segel,,Tidak ditemukan,50,D01_20250911094536.mp4,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,SPXID055721758569,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. bad unit tdk segel,,Tidak ditemukan,2,D03_20250908104315.mp4,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,JX5646233891,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. isi hp realme bekas,,Tidak ditemukan,583,D02_20250825172204.mp4,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,TG3531742823,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. bad unit tdk segel,,Tidak ditemukan,92,D01_20250819111941.mp4,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,JX5769482414,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. isi batu,,Tidak ditemukan,130,D01_20250910103507.mp4,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
,,Tidak ditemukan,JX5619302052,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,,done submit. bad unit tdk segel,,Tidak ditemukan,1019,https://drive.google.com/file/d/1oEivDlnBay--Ca4ZBaJfnIZ3rwZo-TAQ/view?usp=sharing,done,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,
